# rows 962
xG,yG,dxR,dyR,dxB,dyB,xG2,yG2,xG3,yG3
0.0825,0.2138,0.5979,0.2894,-0.9454,-0.9165,0.00681,0.0457,0.000562,0.0098
0.0837,0.1771,0.6240,0.3017,-0.7428,-0.8943,0.00701,0.0314,0.000586,0.0056
0.0843,0.8523,0.5979,-0.3790,-0.9057,-1.0325,0.00711,0.7264,0.000600,0.6191
0.0848,0.1406,0.4884,0.4897,-0.8588,-0.8386,0.00720,0.0198,0.000610,0.0028
0.0861,0.8136,0.6457,-0.3014,-0.9643,-1.0589,0.00741,0.6620,0.000638,0.5386
0.0860,0.1042,0.5250,0.4470,-0.8056,-0.7954,0.00739,0.0109,0.000635,0.0011
0.0870,0.0680,0.5590,0.4205,-0.7049,-0.8396,0.00756,0.0046,0.000658,0.0003
0.0878,0.7750,0.6189,-0.3004,-0.9024,-1.0742,0.00771,0.6007,0.000677,0.4656
0.0880,0.0318,0.5669,0.3571,-0.6942,-0.8382,0.00775,0.0010,0.000682,0.0000
0.0895,0.7365,0.8031,-0.3250,-0.9239,-0.9544,0.00801,0.5425,0.000717,0.3996
0.0912,0.6984,0.6455,-0.2614,-0.9856,-0.9635,0.00831,0.4878,0.000757,0.3407
0.0927,0.6605,0.5491,-0.2583,-1.1089,-1.0523,0.00860,0.4362,0.000797,0.2881
0.0943,0.6227,0.7556,-0.1881,-1.1159,-0.9711,0.00889,0.3878,0.000839,0.2415
0.0958,0.5851,0.6321,-0.0859,-1.0919,-1.0248,0.00918,0.3424,0.000879,0.2003
0.0973,0.5476,0.6379,-0.0172,-1.0804,-0.8763,0.00946,0.2999,0.000920,0.1642
0.0987,0.5103,0.8441,-0.0312,-0.9931,-1.0959,0.00974,0.2604,0.000962,0.1329
0.1001,0.4729,0.6977,0.0679,-1.1082,-0.9878,0.01002,0.2236,0.001004,0.1057
0.1014,0.4358,0.7843,0.1559,-0.8951,-1.0121,0.01029,0.1899,0.001044,0.0828
0.1028,0.3988,0.6547,0.1602,-1.0138,-1.0082,0.01056,0.1590,0.001086,0.0634
0.1040,0.3618,0.6855,0.2779,-1.0533,-0.8432,0.01081,0.1309,0.001124,0.0474
0.1051,0.3251,0.6526,0.1618,-1.0189,-1.0075,0.01105,0.1057,0.001161,0.0344
0.1059,0.9663,0.6752,-0.4379,-0.6573,-1.2124,0.01122,0.9336,0.001189,0.9021
0.1062,0.2884,0.6603,0.3072,-0.9862,-0.9846,0.01128,0.0832,0.001199,0.0240
0.1077,0.9271,0.6127,-0.5077,-0.8387,-1.1247,0.01160,0.8594,0.001249,0.7968
0.1074,0.2517,0.6531,0.3057,-0.9973,-0.9557,0.01153,0.0634,0.001238,0.0160
0.1085,0.2152,0.6047,0.3474,-0.9356,-0.9493,0.01177,0.0463,0.001276,0.0100
0.1094,0.8916,0.6306,-0.3586,-0.9313,-1.1131,0.01196,0.7950,0.001308,0.7088
0.1096,0.1785,0.6006,0.3618,-0.8415,-0.9638,0.01200,0.0319,0.001315,0.0057
0.1107,0.1421,0.5972,0.3919,-0.9417,-1.0411,0.01225,0.0202,0.001356,0.0029
0.1111,0.8528,0.6288,-0.3126,-0.7682,-1.0527,0.01234,0.7273,0.001370,0.6203
0.1117,0.1057,0.6208,0.4069,-0.7909,-1.0199,0.01249,0.0112,0.001396,0.0012
0.1128,0.8142,0.7051,-0.3769,-0.9384,-1.0390,0.01272,0.6629,0.001435,0.5397
0.1127,0.0695,0.4780,0.5069,-0.8642,-0.8093,0.01270,0.0048,0.001432,0.0003
0.1137,0.0332,0.5076,0.4519,-0.7736,-0.8448,0.01292,0.0011,0.001469,0.0000
0.1144,0.7757,0.6950,-0.3029,-0.9288,-0.9727,0.01310,0.6017,0.001499,0.4667
0.1161,0.7373,0.5725,-0.1071,-1.0214,-0.8351,0.01348,0.5436,0.001565,0.4008
0.1177,0.6992,0.5622,-0.1080,-1.0220,-0.9276,0.01385,0.4888,0.001630,0.3418
0.1192,0.6613,0.5581,-0.3052,-1.0432,-0.9972,0.01421,0.4373,0.001693,0.2892
0.1206,0.6236,0.6570,-0.0730,-1.0817,-0.9896,0.01455,0.3889,0.001756,0.2425
0.1221,0.5860,0.7220,-0.1461,-1.0342,-0.9761,0.01490,0.3434,0.001819,0.2012
0.1235,0.5486,0.6859,-0.1107,-1.1101,-0.9328,0.01525,0.3009,0.001884,0.1651
0.1248,0.5112,0.5931,-0.0837,-1.0719,-1.0015,0.01559,0.2613,0.001946,0.1336
0.1262,0.4739,0.6126,0.0976,-1.1916,-0.8827,0.01592,0.2246,0.002009,0.1064
0.1275,0.4368,0.5859,0.0584,-1.0657,-0.9355,0.01626,0.1908,0.002074,0.0834
0.1287,0.3999,0.5819,0.1019,-1.0881,-1.0141,0.01657,0.1599,0.002134,0.0639
0.1300,0.3631,0.6823,0.1173,-0.9205,-0.8932,0.01689,0.1318,0.002196,0.0479
0.1311,0.3264,0.6465,0.2917,-0.9078,-1.0133,0.01720,0.1066,0.002256,0.0348
0.1322,0.2898,0.6156,0.1779,-0.9506,-1.0259,0.01749,0.0840,0.002312,0.0243
0.1327,0.9667,0.4908,-0.4965,-0.8537,-1.0291,0.01762,0.9345,0.002339,0.9033
0.1334,0.2532,0.6100,0.3151,-1.0826,-1.0144,0.01778,0.0641,0.002372,0.0162
0.1345,0.9275,0.5396,-0.5054,-0.9186,-1.1190,0.01808,0.8603,0.002432,0.7980
0.1344,0.2167,0.6891,0.3191,-0.9539,-0.9921,0.01807,0.0469,0.002429,0.0102
0.1355,0.1801,0.6511,0.2684,-0.8995,-1.1016,0.01836,0.0324,0.002487,0.0058
0.1361,0.8921,0.5877,-0.4407,-0.8902,-1.0700,0.01851,0.7959,0.002519,0.7101
0.1365,0.1436,0.6098,0.2286,-0.8616,-1.0145,0.01865,0.0206,0.002546,0.0030
0.1377,0.8534,0.5172,-0.4045,-0.9971,-0.9805,0.01896,0.7283,0.002611,0.6216
0.1375,0.1073,0.5077,0.5629,-0.9964,-0.9707,0.01892,0.0115,0.002602,0.0012
0.1385,0.0710,0.5036,0.5964,-0.7339,-0.9724,0.01918,0.0050,0.002655,0.0004
0.1394,0.8148,0.5355,-0.3542,-1.0071,-0.9016,0.01942,0.6639,0.002706,0.5410
0.1394,0.0347,0.5417,0.4995,-0.7459,-0.8911,0.01942,0.0012,0.002707,0.0000
0.1409,0.7764,0.5962,-0.3440,-1.0836,-0.8756,0.01987,0.6027,0.002800,0.4680
0.1425,0.7380,0.5324,-0.2879,-1.0800,-1.0158,0.02030,0.5446,0.002893,0.4020
0.1439,0.6999,0.5719,-0.2408,-0.9411,-0.8976,0.02072,0.4899,0.002982,0.3429
0.1454,0.6620,0.6716,-0.2306,-1.0690,-0.9418,0.02113,0.4383,0.003071,0.2902
0.1468,0.6244,0.5986,-0.1261,-1.1225,-1.0063,0.02154,0.3899,0.003162,0.2434
0.1482,0.5869,0.5336,-0.1686,-0.9747,-0.9800,0.02195,0.3444,0.003252,0.2022
0.1495,0.5495,0.6366,-0.1677,-1.0790,-0.9690,0.02236,0.3020,0.003343,0.1659
0.1508,0.5122,0.7095,-0.0719,-1.0657,-0.9907,0.02275,0.2623,0.003432,0.1344
0.1521,0.4749,0.6003,0.0805,-1.1928,-0.9302,0.02313,0.2255,0.003519,0.1071
0.1534,0.4378,0.8204,0.0047,-1.1505,-1.1051,0.02353,0.1917,0.003609,0.0839
0.1546,0.4009,0.6810,0.0896,-1.0869,-0.9494,0.02390,0.1607,0.003694,0.0644
0.1558,0.3642,0.5809,0.1932,-0.9798,-1.0613,0.02428,0.1327,0.003782,0.0483
0.1569,0.3276,0.6367,0.1310,-1.0512,-0.9499,0.02463,0.1073,0.003865,0.0352
0.1580,0.2911,0.6002,0.2541,-1.0018,-1.0729,0.02497,0.0847,0.003946,0.0247
0.1594,0.9671,0.6325,-0.3951,-0.8954,-1.0314,0.02541,0.9352,0.004051,0.9044
0.1591,0.2546,0.6528,0.3241,-1.0019,-1.0096,0.02532,0.0648,0.004028,0.0165
0.1601,0.2180,0.6858,0.3692,-1.0536,-0.9382,0.02565,0.0475,0.004107,0.0104
0.1611,0.9280,0.4924,-0.4007,-0.9317,-1.0612,0.02595,0.8611,0.004181,0.7991
0.1612,0.1815,0.5760,0.2921,-0.9529,-0.9494,0.02597,0.0329,0.004185,0.0060
0.1621,0.1450,0.6365,0.3773,-0.9256,-0.9034,0.02629,0.0210,0.004263,0.0030
0.1626,0.8926,0.5739,-0.4012,-0.8020,-1.0062,0.02645,0.7968,0.004302,0.7113
0.1631,0.1087,0.5693,0.4056,-0.7790,-1.0389,0.02660,0.0118,0.004339,0.0013
0.1642,0.8539,0.5402,-0.4209,-0.9383,-1.0021,0.02695,0.7292,0.004424,0.6227
0.1640,0.0724,0.4944,0.4752,-1.0371,-1.0205,0.02690,0.0052,0.004411,0.0004
0.1648,0.0360,0.4449,0.3655,-0.9462,-0.9402,0.02716,0.0013,0.004476,0.0000
0.1657,0.8154,0.5906,-0.5380,-0.9329,-1.0285,0.02746,0.6649,0.004551,0.5422
0.1673,0.7770,0.6555,-0.1729,-0.9879,-0.8612,0.02798,0.6037,0.004680,0.4690
0.1687,0.7387,0.7812,-0.2704,-1.0931,-1.0533,0.02846,0.5456,0.004800,0.4030
0.1701,0.7006,0.5152,-0.2435,-1.0654,-1.0559,0.02893,0.4909,0.004920,0.3439
0.1714,0.6628,0.5857,-0.1145,-0.9593,-0.9957,0.02939,0.4393,0.005038,0.2911
0.1728,0.6251,0.5307,-0.0779,-1.0941,-0.8401,0.02985,0.3908,0.005158,0.2443
0.1741,0.5877,0.5814,-0.2206,-1.0162,-0.9419,0.03033,0.3454,0.005281,0.2030
0.1755,0.5504,0.5303,-0.0329,-1.1468,-1.0114,0.03078,0.3029,0.005401,0.1667
0.1767,0.5131,0.7101,0.0619,-1.0259,-0.8403,0.03123,0.2632,0.005519,0.1351
0.1780,0.4758,0.6022,0.0067,-1.0420,-1.0140,0.03167,0.2264,0.005635,0.1077
0.1791,0.4388,0.5330,0.1238,-1.0153,-0.9573,0.03209,0.1925,0.005749,0.0845
0.1803,0.4019,0.5238,0.1586,-1.1046,-0.8956,0.03251,0.1616,0.005862,0.0649
0.1815,0.3653,0.5520,0.2589,-0.9488,-0.9945,0.03294,0.1334,0.005977,0.0487
0.1826,0.3287,0.5348,0.2345,-1.0453,-0.9725,0.03334,0.1080,0.006087,0.0355
0.1837,0.2922,0.5792,0.3081,-0.9512,-1.0227,0.03373,0.0854,0.006195,0.0250
0.1847,0.2557,0.6079,0.2332,-0.9926,-1.0207,0.03412,0.0654,0.006302,0.0167
0.1857,0.2192,0.4842,0.2914,-1.1290,-1.1046,0.03449,0.0481,0.006406,0.0105
0.1860,0.9675,0.4450,-0.5418,-0.9537,-0.9255,0.03459,0.9360,0.006434,0.9055
0.1867,0.1828,0.6109,0.4312,-0.9894,-1.0293,0.03486,0.0334,0.006510,0.0061
0.1876,0.9284,0.5072,-0.5378,-1.0102,-0.9710,0.03518,0.8620,0.006599,0.8003
0.1877,0.1463,0.5723,0.2700,-0.9629,-1.0163,0.03522,0.0214,0.006610,0.0031
0.1886,0.1099,0.6161,0.4154,-1.0067,-0.9817,0.03556,0.0121,0.006705,0.0013
0.1890,0.8931,0.4504,-0.4403,-0.9833,-0.8881,0.03574,0.7977,0.006756,0.7124
0.1894,0.0735,0.6284,0.3909,-0.8105,-0.9561,0.03585,0.0054,0.006789,0.0004
0.1901,0.0370,0.5773,0.5030,-0.9671,-0.8192,0.03613,0.0014,0.006868,0.0001
0.1905,0.8545,0.4947,-0.3859,-1.1210,-0.8848,0.03631,0.7302,0.006918,0.6239
0.1920,0.8160,0.4721,-0.4546,-1.1012,-0.9105,0.03687,0.6658,0.007080,0.5433
0.1934,0.7776,0.4986,-0.3163,-1.1752,-0.9270,0.03742,0.6047,0.007238,0.4702
0.1948,0.7393,0.5769,-0.3636,-1.1429,-0.9133,0.03796,0.5466,0.007396,0.4041
0.1962,0.7013,0.5504,-0.1530,-0.8674,-0.9194,0.03849,0.4918,0.007551,0.3449
0.1975,0.6635,0.5477,-0.1215,-1.1620,-1.0158,0.03901,0.4403,0.007705,0.2921
0.1988,0.6259,0.5277,-0.2538,-1.1656,-1.0009,0.03951,0.3918,0.007853,0.2453
0.2001,0.5885,0.6046,-0.0958,-0.9246,-0.9667,0.04002,0.3464,0.008006,0.2038
0.2013,0.5512,0.5197,-0.0525,-1.0703,-1.0512,0.04053,0.3039,0.008160,0.1675
0.2025,0.5139,0.4742,-0.0639,-1.0273,-1.0348,0.04102,0.2641,0.008307,0.1358
0.2037,0.4768,0.5494,0.1177,-1.1792,-0.9304,0.04150,0.2273,0.008455,0.1084
0.2049,0.4398,0.4629,0.0275,-1.1287,-0.9477,0.04198,0.1934,0.008600,0.0850
0.2060,0.4029,0.5598,0.0678,-1.0247,-1.0493,0.04243,0.1623,0.008739,0.0654
0.2071,0.3662,0.5744,0.3733,-0.9958,-0.8925,0.04289,0.1341,0.008883,0.0491
0.2082,0.3298,0.6147,0.3057,-0.9908,-0.9778,0.04335,0.1087,0.009025,0.0359
0.2092,0.2933,0.5288,0.2630,-1.0849,-0.9397,0.04378,0.0860,0.009160,0.0252
0.2102,0.2568,0.4230,0.3011,-0.9871,-1.0530,0.04420,0.0660,0.009294,0.0169
0.2113,0.2205,0.4981,0.3247,-1.0822,-1.1024,0.04463,0.0486,0.009429,0.0107
0.2125,0.9679,0.5093,-0.5239,-0.8371,-1.0580,0.04517,0.9369,0.009601,0.9068
0.2122,0.1839,0.5456,0.2761,-1.1943,-1.1101,0.04504,0.0338,0.009558,0.0062
0.2131,0.1475,0.5584,0.4180,-0.9291,-1.0198,0.04542,0.0217,0.009679,0.0032
0.2141,0.9289,0.3986,-0.4579,-0.9175,-0.8611,0.04582,0.8629,0.009809,0.8015
0.2140,0.1110,0.4552,0.4421,-0.9274,-1.0503,0.04578,0.0123,0.009795,0.0014
0.2147,0.0746,0.5048,0.5416,-0.8874,-0.8799,0.04611,0.0056,0.009900,0.0004
0.2154,0.8936,0.4717,-0.4948,-1.0101,-0.8403,0.04641,0.7986,0.009997,0.7137
0.2156,0.0385,0.4699,0.4726,-0.9739,-1.0103,0.04647,0.0015,0.010017,0.0001
0.2168,0.8550,0.5036,-0.3661,-1.0258,-0.9155,0.04702,0.7311,0.010195,0.6251
0.2182,0.8166,0.4795,-0.4906,-1.0550,-0.8753,0.04763,0.6668,0.010395,0.5445
0.2196,0.7782,0.5038,-0.3752,-1.0061,-1.0229,0.04822,0.6057,0.010590,0.4714
0.2209,0.7400,0.6118,-0.2652,-1.0240,-0.8051,0.04881,0.5476,0.010785,0.4052
0.2223,0.7020,0.4432,-0.3263,-1.0937,-0.9360,0.04940,0.4929,0.010979,0.3460
0.2235,0.6643,0.5196,-0.2084,-1.1310,-0.9811,0.04996,0.4413,0.011167,0.2931
0.2247,0.6267,0.4450,-0.0944,-1.0656,-0.7754,0.05051,0.3928,0.011351,0.2462
0.2260,0.5893,0.5438,0.0362,-0.9462,-0.9629,0.05106,0.3473,0.011536,0.2047
0.2271,0.5521,0.5100,-0.0995,-1.0059,-0.9883,0.05159,0.3048,0.011718,0.1682
0.2283,0.5148,0.5566,0.0505,-1.0405,-0.9966,0.05213,0.2650,0.011903,0.1364
0.2295,0.4777,0.4903,0.1160,-1.0197,-1.0141,0.05267,0.2282,0.012086,0.1090
0.2306,0.4407,0.5604,0.1536,-0.9674,-0.9540,0.05317,0.1942,0.012260,0.0856
0.2317,0.4039,0.6365,0.1125,-1.1301,-1.0426,0.05367,0.1632,0.012435,0.0659
0.2328,0.3673,0.4810,0.2791,-1.1106,-1.0375,0.05418,0.1349,0.012611,0.0496
0.2338,0.3308,0.5107,0.2655,-1.0563,-1.0395,0.05466,0.1094,0.012779,0.0362
0.2348,0.2944,0.4914,0.3873,-1.0367,-0.8835,0.05514,0.0867,0.012949,0.0255
0.2358,0.2580,0.4549,0.2889,-1.0326,-1.0979,0.05561,0.0666,0.013114,0.0172
0.2367,0.2216,0.5149,0.3232,-1.1697,-1.0961,0.05605,0.0491,0.013270,0.0109
0.2377,0.1851,0.4396,0.4394,-0.9929,-1.0752,0.05648,0.0343,0.013422,0.0063
0.2390,0.9684,0.4326,-0.5419,-0.8852,-0.9371,0.05711,0.9378,0.013647,0.9082
0.2385,0.1486,0.4948,0.3216,-1.1302,-1.0840,0.05689,0.0221,0.013568,0.0033
0.2394,0.1122,0.4973,0.5400,-0.9894,-1.0507,0.05729,0.0126,0.013713,0.0014
0.2404,0.9295,0.4479,-0.4839,-0.9494,-0.8368,0.05779,0.8639,0.013893,0.8030
0.2402,0.0760,0.4481,0.5310,-0.9948,-1.0879,0.05767,0.0058,0.013850,0.0004
0.2410,0.0401,0.4763,0.4917,-0.9245,-0.8996,0.05810,0.0016,0.014003,0.0001
0.2417,0.8942,0.4510,-0.4916,-1.0086,-0.8311,0.05842,0.7996,0.014121,0.7150
0.2431,0.8556,0.5214,-0.4584,-0.9800,-0.8681,0.05907,0.7321,0.014358,0.6264
0.2444,0.8172,0.3758,-0.2148,-1.0163,-0.7993,0.05971,0.6678,0.014592,0.5458
0.2457,0.7789,0.4798,-0.3522,-1.1233,-0.9719,0.06036,0.6067,0.014831,0.4726
0.2470,0.7407,0.5266,-0.2256,-0.9042,-0.9749,0.06099,0.5486,0.015063,0.4064
0.2482,0.7028,0.4363,-0.3412,-1.0706,-0.9095,0.06161,0.4939,0.015294,0.3471
0.2494,0.6651,0.4854,-0.2563,-1.1422,-1.0349,0.06222,0.4423,0.015519,0.2942
0.2506,0.6275,0.5672,-0.1466,-1.1074,-1.0093,0.06279,0.3938,0.015734,0.2471
0.2517,0.5902,0.4574,-0.1291,-1.0662,-1.0129,0.06337,0.3483,0.015953,0.2056
0.2529,0.5529,0.4443,-0.1601,-0.9382,-0.8963,0.06394,0.3057,0.016168,0.1690
0.2540,0.5157,0.4024,0.0284,-1.0519,-0.9581,0.06450,0.2659,0.016382,0.1371
0.2551,0.4785,0.4961,0.0922,-1.0995,-0.9249,0.06507,0.2290,0.016599,0.1096
0.2562,0.4416,0.5637,0.0244,-1.0202,-1.0740,0.06563,0.1950,0.016812,0.0861
0.2572,0.4049,0.3570,0.1368,-1.1920,-1.1045,0.06616,0.1639,0.017016,0.0664
0.2582,0.3683,0.4644,0.2192,-1.0793,-1.0062,0.06669,0.1356,0.017223,0.0499
0.2593,0.3319,0.4518,0.3054,-1.0433,-1.0774,0.06723,0.1101,0.017431,0.0366
0.2603,0.2955,0.3591,0.3975,-1.0027,-0.9960,0.06774,0.0873,0.017629,0.0258
0.2612,0.2591,0.4882,0.2563,-1.0293,-1.0811,0.06824,0.0671,0.017826,0.0174
0.2621,0.2227,0.3257,0.3701,-0.9793,-0.9944,0.06870,0.0496,0.018009,0.0110
0.2630,0.1862,0.5287,0.3707,-1.1066,-1.0525,0.06918,0.0347,0.018196,0.0065
0.2638,0.1497,0.5154,0.4512,-0.9084,-1.0915,0.06960,0.0224,0.018363,0.0034
0.2647,0.1135,0.4573,0.3955,-0.9158,-1.0456,0.07005,0.0129,0.018540,0.0015
0.2652,0.9690,0.3120,-0.5216,-1.0410,-0.9348,0.07034,0.9389,0.018653,0.9098
0.2655,0.0775,0.2603,0.6253,-0.9522,-0.9815,0.07051,0.0060,0.018724,0.0005
0.2666,0.9300,0.3117,-0.5405,-0.9943,-0.9835,0.07106,0.8650,0.018941,0.8045
0.2664,0.0416,0.4297,0.5627,-0.8925,-1.0748,0.07097,0.0017,0.018906,0.0001
0.2678,0.8948,0.3231,-0.4050,-1.0729,-0.8889,0.07174,0.8007,0.019215,0.7165
0.2691,0.8563,0.5129,-0.5535,-0.9660,-0.9597,0.07244,0.7333,0.019495,0.6279
0.2704,0.8179,0.4107,-0.3184,-1.0032,-0.9473,0.07309,0.6690,0.019761,0.5471
0.2716,0.7796,0.4283,-0.4425,-0.9679,-0.7975,0.07378,0.6078,0.020042,0.4739
0.2729,0.7415,0.3132,-0.3143,-1.1566,-1.0312,0.07445,0.5498,0.020315,0.4076
0.2740,0.7036,0.4554,-0.1245,-1.0835,-0.9457,0.07510,0.4950,0.020580,0.3483
0.2752,0.6659,0.3986,-0.2825,-1.1204,-1.0412,0.07572,0.4434,0.020837,0.2953
0.2763,0.6284,0.3310,-0.1714,-1.1904,-0.8758,0.07634,0.3949,0.021094,0.2481
0.2774,0.5910,0.4144,-0.1899,-1.0805,-0.9549,0.07694,0.3493,0.021340,0.2065
0.2785,0.5538,0.3981,-0.0942,-1.0938,-0.9457,0.07754,0.3067,0.021590,0.1698
0.2795,0.5166,0.3759,-0.0844,-0.9390,-0.9795,0.07814,0.2669,0.021844,0.1379
0.2806,0.4795,0.4843,0.0224,-0.9181,-1.0196,0.07874,0.2299,0.022096,0.1103
0.2816,0.4426,0.3532,0.0277,-1.1579,-0.9650,0.07932,0.1959,0.022339,0.0867
0.2826,0.4059,0.3774,0.1118,-1.0982,-0.9132,0.07988,0.1647,0.022577,0.0669
0.2836,0.3693,0.3920,0.1798,-1.0813,-1.0241,0.08044,0.1363,0.022814,0.0503
0.2846,0.3329,0.4056,0.2570,-1.0559,-1.0945,0.08101,0.1108,0.023056,0.0369
0.2856,0.2966,0.4780,0.2716,-1.0963,-1.1165,0.08156,0.0879,0.023292,0.0261
0.2865,0.2602,0.3586,0.3908,-0.9779,-1.1391,0.08210,0.0677,0.023524,0.0176
0.2874,0.2239,0.2841,0.4391,-0.9971,-1.1415,0.08260,0.0501,0.023739,0.0112
0.2882,0.1873,0.4862,0.4431,-1.1597,-1.0930,0.08308,0.0351,0.023948,0.0066
0.2891,0.1509,0.5368,0.5203,-1.0258,-1.1033,0.08355,0.0228,0.024152,0.0034
0.2899,0.1148,0.3756,0.5793,-1.0830,-1.0781,0.08406,0.0132,0.024373,0.0015
0.2907,0.0789,0.3415,0.5275,-0.9482,-1.0619,0.08454,0.0062,0.024579,0.0005
0.2914,0.9696,0.2782,-0.6009,-1.0719,-0.9748,0.08491,0.9401,0.024744,0.9115
0.2916,0.0429,0.2662,0.6421,-0.9748,-1.0250,0.08502,0.0018,0.024791,0.0001
0.2927,0.9307,0.3870,-0.5240,-0.9070,-0.9730,0.08567,0.8661,0.025074,0.8061
0.2939,0.8955,0.3733,-0.5980,-0.9976,-0.9802,0.08638,0.8019,0.025387,0.7181
0.2951,0.8570,0.4141,-0.3105,-0.9553,-0.8634,0.08711,0.7344,0.025710,0.6293
0.2963,0.8186,0.2327,-0.3725,-1.0681,-0.8372,0.08781,0.6701,0.026022,0.5486
0.2975,0.7804,0.4455,-0.3296,-1.0519,-0.9803,0.08852,0.6090,0.026337,0.4752
0.2987,0.7422,0.4532,-0.2509,-1.1120,-0.8287,0.08920,0.5509,0.026643,0.4089
0.2998,0.7043,0.3699,-0.2713,-1.1401,-0.9166,0.08989,0.4961,0.026952,0.3494
0.3009,0.6667,0.3781,-0.2243,-1.0043,-0.9117,0.09054,0.4444,0.027242,0.2963
0.3019,0.6292,0.4005,-0.2137,-1.0599,-1.0826,0.09116,0.3959,0.027522,0.2491
0.3030,0.5919,0.1910,-0.0963,-1.1349,-1.0883,0.09181,0.3503,0.027817,0.2073
0.3041,0.5547,0.2564,-0.0198,-1.0350,-0.9267,0.09246,0.3077,0.028115,0.1707
0.3051,0.5175,0.5387,0.0422,-1.0423,-0.9567,0.09307,0.2678,0.028391,0.1386
0.3061,0.4804,0.4131,0.1620,-1.1508,-0.9775,0.09369,0.2308,0.028677,0.1109
0.3071,0.4436,0.3562,0.1624,-1.0420,-0.8885,0.09431,0.1968,0.028963,0.0873
0.3080,0.4068,0.4481,0.0680,-0.9961,-1.0611,0.09488,0.1655,0.029228,0.0673
0.3090,0.3703,0.4089,0.2927,-1.0455,-1.0245,0.09546,0.1371,0.029496,0.0508
0.3100,0.3339,0.3443,0.0849,-0.9530,-1.1265,0.09607,0.1115,0.029778,0.0372
0.3109,0.2976,0.3841,0.3417,-1.0736,-1.1552,0.09664,0.0886,0.030043,0.0264
0.3118,0.2613,0.1799,0.2895,-1.1726,-1.0796,0.09722,0.0683,0.030314,0.0178
0.3126,0.2249,0.4650,0.3870,-1.0597,-1.0381,0.09773,0.0506,0.030553,0.0114
0.3135,0.1884,0.4602,0.5448,-0.9763,-1.1469,0.09826,0.0355,0.030799,0.0067
0.3143,0.1522,0.3623,0.5074,-0.8635,-1.0382,0.09879,0.0232,0.031048,0.0035
0.3151,0.1160,0.2702,0.6819,-0.9714,-1.1225,0.09930,0.0135,0.031290,0.0016
0.3159,0.0801,0.2762,0.4113,-0.9517,-1.1382,0.09980,0.0064,0.031530,0.0005
0.3167,0.0441,0.3425,0.4697,-0.9001,-1.1055,0.10031,0.0019,0.031769,0.0001
0.3176,0.9702,0.3318,-0.5194,-0.9657,-0.7349,0.10088,0.9413,0.032043,0.9132
0.3188,0.9313,0.3199,-0.5457,-0.9789,-0.9630,0.10166,0.8674,0.032411,0.8078
0.3200,0.8962,0.3304,-0.3741,-0.8946,-0.7656,0.10239,0.8031,0.032762,0.7197
0.3212,0.8577,0.2060,-0.3943,-1.0263,-0.9688,0.10315,0.7357,0.033127,0.6310
0.3223,0.8194,0.3545,-0.3639,-1.0728,-0.8395,0.10388,0.6713,0.033482,0.5501
